Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,64.17409663,64.18815301,64.21052582,64.24414076,64.29192348,64.35679967,64.47599237,64.6415192,64.7884977,64.8520454,64.76727982,64.59757272,64.41688801,64.17623142,63.82660868,63.31902553,61.51464943,58.08378502,54.19114381,51.00143731,49.67937703,61.81705591,70.92231651,73.1318159,77.14372755,73.49081763,72.76591014,65.862347,67.22717748,58.33087223,46.08709367,,,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,23.83176728,23.44396745,23.12946351,22.89532855,22.74863566,22.6964579,22.75995361,22.92253538,23.1346577,23.34677511,23.50934209,23.65268219,23.82000908,23.98111244,24.10578197,24.16380738,24.17293161,24.17419013,24.17231148,24.17202417,24.17805672,24.33794017,24.4804929,24.53865843,23.94558364,25.00215026,25.18070081,23.95915081,24.26501536,24.59881133,25.1452382,,,
Albania,ALB,22.96157928,22.70311049,22.4828964,22.29713188,22.14201178,22.01373098,21.95188313,21.97760117,22.0593889,22.1657501,22.26518857,22.36600621,22.48278512,22.59344935,22.67592295,22.70812997,22.5109696,22.04122997,21.48066857,21.01104291,20.81411047,22.79990425,20.96272041,19.40753225,19.36794422,19.12155731,17.60216399,18.55524382,19.04618623,15.70470712,15.70700364,,,
Andorra,AND,16.82718511,16.45786883,16.14398058,15.88739776,15.68999774,15.5536579,15.57228332,15.76247253,16.01014313,16.20121271,16.22159887,16.03989638,15.73220439,15.34569712,14.92754875,14.5249335,14.05871522,13.49523551,12.94988519,12.53805507,12.37513595,13.47329485,12.25931464,11.26985633,10.43599927,11.10889365,10.1068248,10.02191904,9.895806387,9.010874653,9.080280591,,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,44.29661141,44.20734235,44.1327883,44.07609257,44.04039846,44.02884928,44.04471666,44.08077813,44.1244358,44.16309179,44.18414825,44.18971037,44.18609605,44.16702645,44.12622271,44.05740599,43.83308321,43.42096151,42.95756231,42.57940708,42.42301723,46.48971729,49.85857049,43.67173152,38.4444709,48.3475759,43.08197082,44.24850564,45.98790614,41.95562632,36.30550308,,,
Argentina,ARG,18.9601696,19.01303052,19.01869992,18.98317939,18.91247054,18.81257498,18.6337466,18.35561436,18.02824245,17.70169509,17.42603648,17.18387377,16.92351427,16.64357241,16.34266265,16.01939943,15.58776752,15.04272924,14.50436528,14.09275635,13.92798315,14.23893067,13.35716185,14.76436999,13.95005931,14.62455147,14.27005945,13.96901748,14.18508004,14.39962389,14.9081738,,,
